LCR	DESC	DATETIME	NO	LOCATION
71A	Traffic/DWI (Driving While Impaired)	10/11/2015 0:38	P15056336	"(35.84940176617088, -78.58147977632869)"
71A	Traffic/DWI (Driving While Impaired)	10/11/2015 0:24	P15056334	"(35.77614707962704, -78.6392349406893)"
71A	Traffic/DWI (Driving While Impaired)	10/10/2015 22:07	P15056321	"(35.77942724586968, -78.6481925026936)"
71A	Traffic/DWI (Driving While Impaired)	10/10/2015 19:34	P15056291	"(35.76760208523579, -78.64631122018308)"
71A	Traffic/DWI (Driving While Impaired)	10/10/2015 4:42	P15056151	"(35.76779696981258, -78.64710076587392)"
71A	Traffic/DWI (Driving While Impaired)	10/10/2015 4:17	P15056146	"(35.768703913356376, -78.64654164885955)"
71A	Traffic/DWI (Driving While Impaired)	10/10/2015 4:16	P15056152	"(35.87035865279078, -78.58103706440428)"
71A	Traffic/DWI (Driving While Impaired)	10/10/2015 3:58	P15056147	"(35.77332140120762, -78.71128446366889)"
71A	Traffic/DWI (Driving While Impaired)	10/10/2015 3:46	P15056140	"(35.768140855812625, -78.64687452248964)"
71A	Traffic/DWI (Driving While Impaired)	10/10/2015 3:24	P15056161	"(35.89216726561328, -78.75227970904292)"
71A	Traffic/DWI (Driving While Impaired)	10/10/2015 2:50	P15056134	"(35.762576932889594, -78.64896531427415)"
71A	Traffic/DWI (Driving While Impaired)	10/10/2015 2:20	P15056156	"(35.82951188191391, -78.66638564346887)"
71A	Traffic/DWI (Driving While Impaired)	10/10/2015 0:58	P15056121	"(35.8669814872688, -78.5825042887595)"
71A	Traffic/DWI (Driving While Impaired)	10/10/2015 0:02	P15056117	"(35.76950233307252, -78.61710412974948)"
71A	Traffic/DWI (Driving While Impaired)	10/9/2015 20:55	P15056092	"(35.90164861753638, -78.6065289662641)"
71A	Traffic/DWI (Driving While Impaired)	10/9/2015 4:12	P15055922	"(35.79954319412724, -78.62461731659023)"
71A	Traffic/DWI (Driving While Impaired)	10/9/2015 0:23	P15055914	"(35.883627922237615, -78.62620316478426)"
71A	Traffic/DWI (Driving While Impaired)	10/8/2015 1:00	P15055713	"(35.78176244280911, -78.5954678285719)"
71A	Traffic/DWI (Driving While Impaired)	10/7/2015 2:17	P15055489	"(35.78055419793036, -78.64524679599245)"
71A	Traffic/DWI (Driving While Impaired)	10/7/2015 1:11	P15055482	
71A	Traffic/DWI (Driving While Impaired)	10/6/2015 20:34	P15055445	"(35.89498976873514, -78.56484923500804)"
71A	Traffic/DWI (Driving While Impaired)	10/6/2015 4:24	P15055287	"(35.77251053766078, -78.62277886581357)"
71A	Traffic/DWI (Driving While Impaired)	10/6/2015 0:11	P15055277	"(35.776589638737406, -78.63734136235244)"
71A	Traffic/DWI (Driving While Impaired)	10/5/2015 19:41	P15055254	"(35.85589041348883, -78.70369602195755)"
71A	Traffic/DWI (Driving While Impaired)	10/5/2015 19:38	P15055261	"(35.72367010271444, -78.5381739591874)"
71A	Traffic/DWI (Driving While Impaired)	10/5/2015 19:08	P15055250	"(35.79376382741017, -78.61251184642428)"
71A	Traffic/DWI (Driving While Impaired)	10/5/2015 2:52	P15055084	"(35.83386700847587, -78.61971608043135)"
71A	Traffic/DWI (Driving While Impaired)	10/5/2015 0:15	P15055076	"(35.774332093210255, -78.73945148869383)"
71A	Traffic/DWI (Driving While Impaired)	10/4/2015 21:10	P15055068	"(35.87787033370291, -78.67834553424595)"
71A	Traffic/DWI (Driving While Impaired)	10/4/2015 4:41	P15054931	"(35.75418879415866, -78.61289673541803)"
71A	Traffic/DWI (Driving While Impaired)	10/4/2015 4:27	P15054935	"(35.85603055115432, -78.7018835659117)"
71A	Traffic/DWI (Driving While Impaired)	10/4/2015 3:49	P15054929	"(35.784885346923346, -78.70403059348779)"
71A	Traffic/DWI (Driving While Impaired)	10/4/2015 3:33	P15054922	"(35.78745359590922, -78.64749583268508)"
71A	Traffic/DWI (Driving While Impaired)	10/4/2015 3:30	P15054920	"(35.82203736808563, -78.63301721732367)"
71A	Traffic/DWI (Driving While Impaired)	10/4/2015 2:59	P15054933	"(35.76304692983655, -78.69618889225168)"
71A	Traffic/DWI (Driving While Impaired)	10/4/2015 2:07	P15054913	"(35.85298201876992, -78.64224326353022)"
71A	Traffic/DWI (Driving While Impaired)	10/3/2015 20:42	P15054869	"(35.80120495200651, -78.57779311365452)"
71A	Traffic/DWI (Driving While Impaired)	10/3/2015 4:35	P15054740	"(35.854983587862655, -78.58159407286786)"
71A	Traffic/DWI (Driving While Impaired)	10/3/2015 2:53	P15054723	"(35.80476730968498, -78.64624735630979)"
71A	Traffic/DWI (Driving While Impaired)	10/3/2015 2:36	P15054722	"(35.78000712870805, -78.60879424991822)"
71A	Traffic/DWI (Driving While Impaired)	10/3/2015 2:23	P15054734	"(35.85990052897117, -78.68029960145566)"
71A	Traffic/DWI (Driving While Impaired)	10/3/2015 0:47	P15054716	"(35.85129097788396, -78.58729760037984)"
71A	Traffic/DWI (Driving While Impaired)	10/2/2015 22:03	P15054695	"(35.778605504513216, -78.66645944328337)"
71A	Traffic/DWI (Driving While Impaired)	10/2/2015 21:52	P15054693	"(35.910010863155904, -78.59387868286434)"
71A	Traffic/DWI (Driving While Impaired)	10/2/2015 12:53	P15054582	"(35.808376662096514, -78.60313233703116)"
71A	Traffic/DWI (Driving While Impaired)	10/2/2015 1:10	P15054495	"(35.79940479305421, -78.62489409132183)"
71A	Traffic/DWI (Driving While Impaired)	9/30/2015 23:56	P15054256	"(35.74004743814976, -78.62945429879963)"
71A	Traffic/DWI (Driving While Impaired)	9/30/2015 21:30	P15054246	"(35.7796206511073, -78.60817140674861)"
71A	Traffic/DWI (Driving While Impaired)	9/30/2015 12:01	P15054133	"(35.77052524382823, -78.61494020445181)"
71A	Traffic/DWI (Driving While Impaired)	9/30/2015 8:46	P15054100	"(35.779720044666064, -78.64788864085996)"
71A	Traffic/DWI (Driving While Impaired)	9/30/2015 2:14	P15054069	"(35.7852032611063, -78.72225679723579)"
71A	Traffic/DWI (Driving While Impaired)	9/30/2015 2:11	P15054074	"(35.85643511366062, -78.64029274601917)"
71A	Traffic/DWI (Driving While Impaired)	9/29/2015 21:55	P15054046	"(35.77069019906311, -78.72306565149734)"
71A	Traffic/DWI (Driving While Impaired)	9/29/2015 8:09	P15053845	"(35.87492960964191, -78.62345903636293)"
71A	Traffic/DWI (Driving While Impaired)	9/29/2015 2:50	P15053825	"(35.843776789096815, -78.61235122226576)"
71A	Traffic/DWI (Driving While Impaired)	9/27/2015 20:46	P15053577	"(35.9194407196303, -78.57012728348371)"
